model,RMSE,MAE,R2_oos,feature_set
Ridge (aligned theory),0.023647833138313357,0.016930214829035766,-0.11029749090399932,theory_only_aligned
Linear (aligned theory),0.023668538112752935,0.016992834704759204,-0.11224259470783249,theory_only_aligned
Lasso (aligned theory),0.02454629679792085,0.01818529977799222,-0.1962683593392216,theory_only_aligned
Mean (aligned theory),0.02569881175394472,0.01952655701935311,-0.31124166349502147,theory_only_aligned
Ridge (aligned + H),0.024310951798302775,0.01719094693470522,-0.17343916230209633,theory_plus_h_aligned
Linear (aligned + H),0.024348939106055335,0.017329263971905328,-0.17710916429314794,theory_plus_h_aligned
Lasso (aligned + H),0.024374998163698054,0.017180942431898497,-0.1796300765839447,theory_plus_h_aligned
Mean (aligned + H),0.025752529915346118,0.019577334122830626,-0.3167291629593194,theory_plus_h_aligned
Random Forest (aligned),0.02556737396939136,0.017628083174495,-0.2978631490066179,
Gradient Boosting (aligned),0.0278988810728996,0.019486326656217558,-0.5453619859634378,
